term	hits	files	proposing_entries	inherited_lead	disposition
如何	91588	442	作麼生		UNREVIEWED_INVESTIGATION
禪師	70958	445	和尚		UNREVIEWED_INVESTIGATION
如何是	49487	409	作麼生		UNREVIEWED_INVESTIGATION
拄杖	27727	392	卓拄杖、拂子、拄杖子、提持、擊禪床、棒、正令、無生、燈籠、行腳、認賊為子、釋迦老子、金剛王寶劍	"Literally, to strike or plant (卓) the staff (拄杖): ""to strike the staff on the floor."" The phrase occurs 5,243 times in 287 allowlisted texts. In the Chan record it is a teaching-seat action, not merely a description of walking with a stick. A master strikes once and says, ""all at once, smashed to pieces"" (卓拄杖一下，云：一時粉碎), or strikes and supplies the demanded phrase. The action can punctuate a public exchange, accompany a shout, or close a formal address immediately before ""stepped down"" (下座). The corpus counts the blows explicitly: ""once"" occurs 777 times and ""three times"" 32 times. These observable placements are the Chan deviation; the entry assigns no unstated meaning to the blow. | The omitted instrument varies: texts explicitly supply 'with a staff' (以拄杖), 'with a whisk' (以拂子), or no instrument. These are grammatical specifications of one action, not separate things. The Chan graph (禪) names Chan here, so the object is the Chan seat. No corpus warrant was found for assigning the blow a single symbolic message. | ” (如何是大用現前). Dahui Zonggao likewise raises the whisk and says that the old man has arrived, then asks whether the assembly sees him. In another record, a master says that even if old man Śākyamuni came there, he would receive thirty blows; Dahui comments on a story of Śākyamuni disputing the buddha-teaching with Indra by saying, “This old fellow deserves thirty staff-blows” (這老漢好與三十拄杖). The form also remains a quotation label: Yunmen says, “Old man Śākyamuni has already spoken; Maitreya still does not know” (釋迦老子道了也，彌勒猶自不知). A later master says, “Speak a sentence where old man Śākyamuni could not speak; take a step where the great teacher Bodhidharma could not go” (釋迦老子說不到處，說取一句；達磨大師行不到處，行取一步). The strongest coarse appraisal is textual and explicit: “Śākyamuni is a dry shit-stick” (釋迦老子是乾屎橛), paired with “Mañjuśrī and Samantabhadra are shit-carrying fellows” (文殊普賢是擔屎漢). The deviation lies in the form’s repeated Chan use: a revered name becomes an immediately addressable “old man” whom masters quote, enact, out-say, rebuke, and strike in public discourse."	SELECTED_NEXT500
什麼	21972	348	是什麼	""" and Baizhang answers, ""wild ducks"" (是什麼？ | "" (是什麼，還聞麼), and Yunmen repeatedly summons his attendant, receives ""yes,"" and asks, ""what is it?"	UNREVIEWED_INVESTIGATION
山僧	20217	392	老僧		UNREVIEWED_INVESTIGATION
如是	19247	437	恁麼		UNREVIEWED_INVESTIGATION
佛法	12806	433	如何是佛法大意		UNREVIEWED_INVESTIGATION
生死	11223	429	三關、命根		SELECTED_NEXT500
祖師	11059	424	師子		UNREVIEWED_INVESTIGATION
雲門	10582	388	五家		ROSTER_NOT_DICTIONARY
趙州	10240	392	青州布衫		ROSTER_NOT_DICTIONARY
臨濟	9730	396	五家		ROSTER_NOT_DICTIONARY
大地	9551	414	山河大地、盡大地		UNREVIEWED_INVESTIGATION
不會	9354	405	作麼生會、會麼、茫然、較些子、還會麼、錯會	""" (還會麼; 2085 occ / 270 texts); it is addressed to the assembly as (大眾會麼) (261) and (諸人會麼) (48). The recurring pattern: a master presents something — a saying, a raised case, a held-up object, or an abrupt action — and then asks (還會麼); the question is frequently followed by (良久) (a pause) and a further line, e.g. (還會麼良久云三邊若得渾無事) and (召大眾云還會麼良久擲如意云); or the interlocutor answers ""I don't get it"" (不會), e.g. (陛下還會麼)。 | (不會) and (拈起帽子兩帶曰)。"	SELECTED_NEXT500
與麼	8710	346	作麼生、恁麼	” (什麼物恁麼來); records also pair coming thus with going thus and say that thus, not-thus, and both together will not do. In public interviews it marks a student’s inference (恁麼則), a proposed understanding (恁麼會), the exact moment at issue (正當恁麼時), and a condition (若恁麼). A later citation doubles both sides: “thus, thus” and “not thus, not thus.” The variant spelling “thus” (與麼) is the same word. Chan makes this ordinary pointer a pervasive hinge of question and answer, but its deictic referent remains one sense.	UNREVIEWED_INVESTIGATION
分明	8008	423	歷歷		UNREVIEWED_INVESTIGATION
某甲	7552	370	阿誰	' (汝是阿誰／某甲／汝識某甲否). It asks lineage in the stock interview formula 'whose song does the master sing; to whom does the house style succeed?	UNREVIEWED_INVESTIGATION
語錄	7455	398	序	In a title or section heading, a preface (序) is introductory prose placed before a recorded-sayings collection, anthology, or edition. The graph commonly follows the work title, as in 'Preface to the Recorded Sayings of the Monk Foyan' (佛眼和尚語錄序), 'Preface to the Extensive Record of the Monk Yongjue' (永覺和尚廣錄序), and 'Preface to the Recorded Sayings of the Monk Sanfeng Cang' (三峰藏和尚語錄序).	UNREVIEWED_INVESTIGATION
文殊	6505	386	維摩詰		SELECTED_NEXT500
菩提	6276	388	歇即菩提、觸目菩提	The isolated four graphs say, 'stop (歇)—that is (即) awakening (菩提),' but the corpus's recurring full quotation supplies the omitted subject: 'the crazed mind does not stop; when it stops, that is awakening' (狂心不歇，歇即菩提). A historical compendium follows the phrase with its own explicit explanation, beginning 'as for “when it stops, that is awakening”' and describing what it calls awakening. Chan masters repeatedly take up the quoted line in hall discourse. One says that when dust-labor suddenly stops, 'when it stops, that is awakening,' then immediately asks the assembly, 'from where is it obtained? | Allowlist count: 38 hits in 26 texts. One fixed-proposition sense. Family checked against stop/rest (歇), rest and cease (休歇), let it rest and cease (休去歇去), crazed mind (狂心), and awakening (菩提). The compendium's explanatory expansion is reported as that text's wording; this entry does not extend it beyond the quoted passage.	UNREVIEWED_INVESTIGATION
自己	6195	391	丙丁童子、主人公、張三李四、騎牛覓牛	心在諸人分上喚作自己，又喚作主人公). This Tianru Weize witness is independent of the Ruiyan self-calling and Zhaozhou exchanges. | ” another answers “Zhang Three and Li Four” (如何是學人自己；張三李四); asked “what is buddha?	SELECTED_NEXT500
未審	6176	364	意旨如何		SELECTED_NEXT500
因緣	5711	394	下語	Literally “lay down a word,” this means to offer a response phrase when a master raises a case, an encounter (因緣), or a question and calls for an answer. It occurs 889 times across 205 allowlisted texts and names a standard public testing routine. A master orders the assembly to offer responses; participants put forward words or manage a turning phrase; the recurrent recorded verdict is that the responses “do not accord” (不契). In Nanquan's door case, many people offer responses but none accords with Nanquan's meaning. Another senior monk offers ninety-six turns without satisfying the master. When the assembly's responses fail, the master may supply his own final phrase or speak in their place. Dahui likewise reports successive responders failing to accord in Dongshan's saying and an assembly failing in the bamboo-slat case. Verbal “offer a phrase,” agent “one who offered a phrase,” and nominal “the phrase offered” constructions all denote the same response event and product. The Chan deviation is the institutional demand for an on-the-spot phrase to be publicly measured against a raised case; the entry does not infer what makes any response accord.	UNREVIEWED_INVESTIGATION
本來	5706	403	本地		UNREVIEWED_INVESTIGATION
般若	5507	387	青青翠竹、鬱鬱黃花	"Literally “verdant green bamboo.” In the Chan corpus these four ordinary landscape words are overwhelmingly the first half of a disputed stock proposition: “verdant green bamboo is entirely the true-as-is” or “entirely the body of reality,” paired with “luxuriant yellow flowers are none other than complete discernment” (青青翠竹，盡是真如／法身；鬱鬱黃花，無非般若). The proposition is not a settled glossary equation. The Ancestral Hall Collection explicitly records that some call it a wrong saying while others accept it; elsewhere in the same text one teacher answers “it does not pervade form” (不遍色), and Dazhu Huihai rejects identifying the bamboo itself with the body of reality. Dahui preserves both sides and describes Nanyang Huizhong as maintaining “verdant green bamboo is entirely the body of reality” while Dazhu breaks it as “verdant green bamboo is not the body of reality” (國師主張青青翠竹盡是法身；大珠破青青翠竹不是法身). The phrase also enters interviews: asked “verdant green bamboo is entirely the true-as-is; what is the true-as-is? | Literally, flourishing or luxuriant (鬱鬱) yellow flowers (黃花): ""flourishing yellow flowers."" The phrase occurs 57 times in 41 allowlisted texts. Its distinctively Chan deployment is the frequently quoted proposition, ""the green bamboo is entirely the body of the teaching; the flourishing yellow flowers are nothing other than wisdom"" (青青翠竹，盡是法身；鬱鬱黃花，無非般若). The fuller exact yellow-flower formula occurs 18 times in 17 texts, while ""green bamboo"" (青青翠竹) occurs 116 times in 68. The records preserve disagreement rather than a single unopposed gloss. A question to National Teacher Huizhong says that some call the proposition an erroneous saying while others trust it as inconceivable; his recorded answer accepts it by placing bamboo and flowers within the range of the teaching body and wisdom. The same transmitted passage then has a Huayan lecturer ask Dazhu Huihai why he does not permit the formula; Dazhu distinguishes appearing in response to bamboo and flowers from wisdom or the teaching body being located in those objects. Later, Shending Yikui rebukes people who hear the formula, hold rigidly to it, and never shift at all, calling a fitting phrase ""a donkey-tethering stake for ten thousand ages"" (一句合頭語，萬劫繫驢橛). In another exchange he asks how wisdom is understood when the yellow flowers are right here, and tells the respondent that he has let the yellow flowers down. Chan thus bends a scene of colored plants into a portable, disputed proposition and a live examination question; this entry reports the acceptance, distinction, and correction recorded by the texts without deciding among them."	UNREVIEWED_INVESTIGATION
一念	5343	383	剎那		UNREVIEWED_INVESTIGATION
出家	4953	365	懸崖撒手		UNREVIEWED_INVESTIGATION
叢林	4866	376	清規、粥飯僧		SELECTED_NEXT500
長老	4636	342	尊宿		SELECTED_NEXT500
解脫	4549	358	當處		UNREVIEWED_INVESTIGATION
直下	4423	373	承當、當下、立地		UNREVIEWED_INVESTIGATION
商量	4330	361	下語		SELECTED_NEXT500
山河	4308	378	山河大地		UNREVIEWED_INVESTIGATION
意旨	4168	328	玄旨		UNREVIEWED_INVESTIGATION
此事	4078	371	提持、舉揚		UNREVIEWED_INVESTIGATION
萬象	4029	375	森羅萬象		UNREVIEWED_INVESTIGATION
示眾云	3928	299	示眾	To address or instruct the assembled community publicly. The term occurs 12,002 times in 399 allowlisted texts and is a standard discourse heading beside the formal hall address (上堂) and small convocation (小參): a master “addresses the assembly, saying” (示眾云/曰), sometimes after ascending the seat. The corpus groups the formal hall address (上堂) and address to the assembly (示眾) as public formats and compares a small convocation with an address to the assembly. It can be delivered in writing as a verse after the assembly answers a question. The format also includes final instructions (臨終示眾), as when Luopu begins by asking the assembly about one matter. Chan turns “show to the assembly” into a recurring name for the master’s public verbal address; it is not a private exchange.	UNREVIEWED_INVESTIGATION
者箇	3708	220	這箇	Allowlist count: 4,672 hits in 226 texts. Family comparison with 'that one' (那箇), the variant forms of 'this one' (者箇 and 這个), 'what is it?	UNREVIEWED_INVESTIGATION
住持	3567	303	方丈		SELECTED_NEXT500
彌勒	3495	365	布袋和尚	""" (如何是布袋下事), he shoulders it and leaves. Asked the great meaning of the buddha-teaching, he again puts it down and stands with folded hands; asked whether there is an upward matter, he shoulders it and goes. In the street he says he is waiting for a person and rejects the monk who claims to have arrived. Later records quote his verse, ""Maitreya, true Maitreya, divides into hundreds of thousands of bodies, constantly showing himself to people, while people do not recognize him"" (彌勒真彌勒，分身千百億，時時示時人，時人自不識), then comment on it. The Zen Budai is thus the bag-bearing street monk whose putting down, shouldering, waiting, and Maitreya verse are repeatedly raised and judged."	SELECTED_NEXT500
道得	3477	341	作麼生道、無語		SELECTED_NEXT500
無對	3469	290	代語、無語	The graph “speech” (語) is translated here as the actual response, not left as an unexplained “word.” The recurring sequence “had no response” (無對) → “ordered the assembly to respond in his place” (命眾代語) → “submitted responses did not accord” (下語不契) → “the master supplied one” (師代) establishes the institutional sense directly.	SELECTED_NEXT500
陞座	3463	348	上堂、下座、世尊、便下座、喝一喝、德山托鉢、釋迦	"Literally, ""then descended from the seat"" (便下座). In Chan records this is a formal scene-closing action tied to the high teaching seat, not merely someone sitting down or leaving ordinary furniture. The Buddha cases make the institutional structure explicit: the Buddha mounts the seat (陞座), the assembly settles, Manjusri or Kasyapa strikes the sounding block and announces the king of teachings' teaching or that the talk is finished, and the Buddha then descends. The phrase can close a spoken address after a final question, as when Linji tells the assembly to ask the two hall leaders about host and guest and descends. It also closes action without a final speech: after Magu exits during the exchange of seats, Linji descends. In the Mazu-Baizhang encounter, Baizhang rolls up the mat as soon as Mazu mounts the hall, and Mazu descends and continues the exchange in his quarters. The distinctive Chan deployment is the visible termination of the formal teaching-seat event; sometimes the descent itself is the entire recorded close. | Cross-checked 'ascend the seat' (陞座), 'ascend the hall' (上堂), 'then stepped down' (便下座), 'planted the staff' (卓拄杖), and the Buddha seat narratives. The formal closure and physically being pulled from a seat share one concrete action, so item 8 does not warrant a split. | The formula occurs 7,091 times in 320 allowlisted texts. Family comparison: “shout” (喝) can be a noun or verb, “one shout” (一喝) counts it, and “gave a shout” (喝一喝) is the finite narrative action. Speaker, addressee, and sequence position are different deployments of the same action, not different things. Compare leaving the seat (下座), ascending the seat (陞座), planting the staff (卓拄杖), and the abbot's quarters (方丈)."	SELECTED_NEXT500
無為	3458	372	無事、閑道人	"Literally, ""an idle or at-ease person of the Way"" (閑道人). Chan usage bends ordinary idleness into a named epithet, most often in the full line ""an at-ease person of the Way who has ended study and does nothing contrived"" (絕學無為閑道人). Huangbo explains that people of old heard one statement and thereby ""ended study"" (絕學), and so received this name; he contrasts them with people seeking much knowledge and many explanations. Tianru explicitly lists ""the great sea of extinction"" (大寂滅海), ""the ground of actual principle"" (實際理地), and this full epithet as different names for ""great rest"" (大休). The Mirror Record distinguishes accumulating study, ending study, and then passing beyond both, saying that only on reaching the end of study does one first draw near the Way. Other records deploy the shortened term in verse: the whole world is full of people seeking buddha, but an at-ease person of the Way is hard to find (茫茫盡是覓佛漢，舉世難尋閑道人). The epithet therefore names a Chan roster type through explicit ending-study and great-rest definitions, not a generic loafer."	UNREVIEWED_INVESTIGATION
西來意	3391	319	如何是祖師西來意、祖師西來意、香嚴上樹	' (如何是祖師西來意: 如何是, 'what is'; 祖師, 'the Patriarch'; 西來, 'coming from the West'; 意, 'meaning or intent'). The Patriarch is Bodhidharma, and the west is India in relation to China. This is the most frequently repeated set question put to masters in the lamp records and recorded sayings: the full eight-graph form occurs 1,858 times in 231 allowlist texts, while the shorter phrase 'the meaning of the Patriarch's coming from the West' (祖師西來意) occurs about 2,081 times. The records preserve different replies by named people. Zhaozhou answers 'the cypress tree in the garden' (庭前柏樹子); Linji, asked while washing his feet, answers 'just now this old monk is washing his feet' (恰值老僧洗脚); National Teacher Huian answers 'why not ask about your own meaning? | A stock question spoken between two people, not one master's private idiom. MasterName is null on these narrated or raised exchanges; each AttributionNote identifies the questioner and answerer. Compare the shorter noun phrase 'the meaning of the Patriarch's coming from the West' (祖師西來意). | A fixed liturgical question, almost always in the frame (如何是祖師西來意) — 'What is the meaning of the Patriarch's coming from the West?	SELECTED_NEXT500
觀音	3148	355	千手眼	The “thousand hands and eyes,” attested 242 times in 108 allowlisted texts, is the invoked form of Great Compassion, or Guanyin. Chushi Fanqi’s image record identifies it directly: “Great Compassion’s thousand hands and eyes are Guanyin’s responsive transformation-body” (大悲千手眼者，觀音大士應化之身也). In the Chan record the figure is repeatedly placed inside public interviews asking which is the “true eye.” Daowu asks, “Among Great Compassion’s thousand hands and eyes, which is the true eye?	SELECTED_NEXT500
道場	3143	364	一行三昧、當處	Literally, “one act” or “single conduct” (一行) plus “complete command” (三昧). In the Chan corpus Huineng's Platform Record supplies the governing definitions and the Zen-specific correction. It defines the term as “at all times, while walking, standing, sitting, and reclining, constantly carrying a straightforward mind” (於一切時中，行住坐臥，常行直心), and again as carrying a straightforward mind without attachment to anything (於一切法上，無有執著). The Record of the Patriarchal Hall gives the parallel: “in every place, walking, standing, sitting, and reclining, all is one straightforward mind; this is the site of the way, this is the pure land” (於一切處行住坐臥，皆一直心，即是道場，即是淨土). The Platform Record then identifies and rejects a contrary deployment: people attached to the term say that sitting without moving and suppressing thoughts is “complete command in one act”; the text says that if so, this is the same as insentient things and an obstructing condition (同無情，却是障道因緣). This explicit correction is the entry's central Zen bend: the named “one act” is defined across all four postures and straightforward mind, not reduced to unmoving sitting. A preface to another Platform edition also defines it as “the single aspect of the realm of things” (法界一相) and says that although the many good acts differ, all are made correct in one act (萬善雖殊，皆正於一行).	UNREVIEWED_INVESTIGATION
真如	3078	306	青青翠竹	Literally “verdant green bamboo.” In the Chan corpus these four ordinary landscape words are overwhelmingly the first half of a disputed stock proposition: “verdant green bamboo is entirely the true-as-is” or “entirely the body of reality,” paired with “luxuriant yellow flowers are none other than complete discernment” (青青翠竹，盡是真如／法身；鬱鬱黃花，無非般若). The proposition is not a settled glossary equation. The Ancestral Hall Collection explicitly records that some call it a wrong saying while others accept it; elsewhere in the same text one teacher answers “it does not pervade form” (不遍色), and Dazhu Huihai rejects identifying the bamboo itself with the body of reality. Dahui preserves both sides and describes Nanyang Huizhong as maintaining “verdant green bamboo is entirely the body of reality” while Dazhu breaks it as “verdant green bamboo is not the body of reality” (國師主張青青翠竹盡是法身；大珠破青青翠竹不是法身). The phrase also enters interviews: asked “verdant green bamboo is entirely the true-as-is; what is the true-as-is?	UNREVIEWED_INVESTIGATION
大事	3062	348	發明	Literally to issue into brightness: to bring something to light or make it clear. The term occurs 1,304 times in 250 allowlisted texts. Chan biographies repeatedly say that someone brings “the great matter,” “the mind-ground,” or “the essentials of mind” to light. One record lists bringing the great matter to light alongside having one's mind-ground opened through mountains and waters and recognizing one's original face through things encountered; the text supplies these neighboring predicates without making them synonyms. A later address states its aim as having each person “directly bring to light one's own fundamental great matter” (直下發明自己本分大事), anchoring direct instruction rather than retrospective biography. Other biographies say “there will certainly be clarification” (必有發明) or that someone was “not greatly clarified” (不大發明). Those result and degree constructions name the outcome of the same bringing-to-light event, not another lexical referent. | Translate the corpus term rather than importing modern “invention” or automatically making it “enlightenment.” Named-object verbs and result-noun grammar remain one sense. Compare the great matter (大事), fundamental great matter (本分大事), mind-ground (心地), essentials of mind (心要), awakening to the Way (悟道), awakening (悟), and realization (證).	UNREVIEWED_INVESTIGATION
喫飯	3049	356	金牛		SELECTED_NEXT500
一棒	2954	323	棒	Allowlist counts recorded in the audit: the headword “staff/blow” (棒), 18,109 hits in 415 texts; “one blow” (一棒), 2,954; “thirty blows” (三十棒), 2,766; “twenty blows” (二十棒), 407; “one bout of blows” (一頓棒), 63; “receive a blow” (喫棒), 1,191; and “painful blows” (痛棒), 752. The object-versus-blow split is preserved and strengthened: six object witnesses and seven act witnesses, with every sense independently anchored. Attribution remains cautious because several formulas circulate in raised cases and later compilations, and witnesses differ over which Deshan bears the thirty-blows formula.	UNREVIEWED_INVESTIGATION
大笑	2917	331	呵呵大笑、撫掌	Family check: “clap the hands” (撫掌), “hand-clapping” (拍手撫掌), “clap and laugh loudly” (撫掌大笑), “clap once” (撫掌一下), and “clap three times” (撫掌三下) all denote the same physical action. They differ in accompanying speech and count, not referent, so they remain one sense.	UNREVIEWED_INVESTIGATION
闍黎	2900	274	老僧		SELECTED_NEXT500
眼睛	2880	346	一隻眼、換卻眼睛	"Literally, ""swap out the eyes"" (換卻眼睛). In ordinary wording this would name a bodily exchange; Chan records use it as an accusation that a saying, written formulation, sight, sound, or teacher has displaced a person's own seeing. A commentary says a monk asking Xuansha about his own self had his eyes swapped out by Xuansha's reply. Shiyu says altered wording and changed characters (改文易字) swap out people's eyes, and elsewhere says waterbirds, groves, bells, and gongs do it. Sanyi warns against letting the writing brush exchange black beans for one's eyes (毛錐子將黑荳換卻眼睛), then identifies bird-script, dragon-writing, paper, ink, and written characters as fit for ordinary circulation rather than Chan discussion. A case comment even judges the words ""Where is the eminent monk?"	SELECTED_NEXT500
無礙	2870	342	自在	"Counted constructions: ""free and at ease"" (自由自在), 185; ""free and unobstructed"" (自在無礙), 50; ""obtain great freedom"" (得大自在), 258; ""not at ease"" (不自在), 134. The compound personal/title name ""Contemplating Freely"" (觀自在, 278) and personal names such as Yun Zizai are proper-name uses and are not merged into this adjectival sense."	UNREVIEWED_INVESTIGATION
煩惱	2799	296	塵勞		UNREVIEWED_INVESTIGATION
